timestamp;filter_size;dropout;rotation_output_angle_error;rotation_output_loss;shape_output_accuracy;shape_output_loss;size_output_accuracy;size_output_loss;test_loss;test_shape_output_loss;test_rotation_output_loss;test_size_output_loss;test_shape_output_accuracy;test_rotation_output_angle_error;test_size_output_accuracy;optimizer;dense;epochs
1600099359.1164098;200;0.4;16.863693;1.4929785;0.9480518;0.14884117;0.9827108;0.047832523;1.7354174417206132;0.14067848026752472;1.5467665195465088;0.04796500504016876;0.9532769322395325;15.9447021484375;0.9835612773895264;Adam;384;15
1600167341.2876124;200;0.4;15.835685;1.401382;0.95241725;0.13629636;0.98441297;0.04319755;1.6744111335148457;0.13430427014827728;1.4921560287475586;0.04795532301068306;0.9548172950744629;15.420658111572266;0.983518123626709;Adam;384;20
1600171637.4587398;200;0.4;14.898061;1.3214426;0.9558849;0.12594219;0.985623;0.039388347;1.624767960333282;0.13340751826763153;1.4428681135177612;0.04848741739988327;0.9552832841873169;14.990560531616211;0.9835397005081177;Adam;384;25
1600176786.9907997;200;0.4;14.255284;1.2657688;0.95778275;0.119401455;0.98660433;0.037213743;1.640591696586622;0.13608892261981964;1.4567210674285889;0.04777985066175461;0.9553565979003906;14.67452621459961;0.9843336343765259;Adam;384;30



timestamp;filter_size;dropout;test_loss;test_shape_output_loss;test_rotation_output_loss;test_size_output_loss;test_shape_output_accuracy;test_rotation_output_min_angle_error;test_size_output_accuracy;optimizer;dense;epochs
1600232960.7595775;200;0.4;39.38954910105172;19.7867488861084;7.149605751037598;19.583049774169922;0.31934675574302673;1.1993966102600098;0.5848643183708191;Adam;384;1
